"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPM6A",-2.77539577788517,0.650131054323282,-37.8062698089588,1.41581206330536e-157,2.61189009438572e-153,349.515300655591
"SERTM1",-2.3565057976129,0.408037036734938,-37.0893769040926,3.36570895758261e-154,3.1045299424742e-150,341.781484119687
"SH3GL3",-1.26272463805139,0.251136139692111,-36.1543837011984,9.35462364622893e-150,5.75246990085438e-146,331.599782372938
"SLC6A4",-3.86601406034369,0.716430166413287,-35.9632153583001,7.67817479970354e-149,3.54117421762327e-145,329.504932107433
"SGCG",-1.73001228618026,0.465171927850662,-34.7403346367442,5.99639773657019e-143,2.21243090888494e-139,316.000975585997
"RS1",-1.12200323378503,0.250330769622352,-34.4376845110862,1.76984143351845e-141,5.44167246092474e-138,312.631679490936
"ANGPT4",-1.14186711073067,0.237617446124826,-34.3734865906143,3.63367000856763e-141,9.57627775972223e-138,311.915620673077
"ITLN2",-3.82189105991062,0.904285387085901,-33.0603228265472,9.88217407345406e-135,2.27882934133851e-131,297.16582815502
"WNT3A",-2.17045376434179,0.550509681899842,-32.8193210875567,1.53007238040758e-133,3.13630836375101e-130,294.437988918339
"CD300LG",-1.89454895268125,0.35164005208651,-32.0984847712408,5.74882133680335e-130,1.06054256021348e-126,286.241766224005
"GYPE",-1.26600931156205,0.399071356133973,-31.8950137966463,5.92800982569668e-129,9.94181138767749e-126,283.918315527072
"RTKN2",-3.45964790873936,1.62114846399707,-31.0989078606112,5.68935216446632e-125,8.74643072750622e-122,274.787068428765
"CD5L",-0.936423488302416,0.195247748089042,-30.6064397902685,1.7052745048793e-122,2.41991569738564e-119,269.107343597022
"SCUBE1",-1.75100888318577,0.528702329747183,-30.0174113927589,1.61043038710363e-119,2.12208712723484e-116,262.284184098101
"MYZAP",-2.18750780198618,0.987614423541217,-29.7708787955312,2.85850471406119e-118,3.51557966433339e-115,259.419155491351
"LGI3",-3.63155627813046,1.01837173814387,-29.6645757182172,9.89658515210527e-118,1.14107626803774e-114,258.182141997767
"CA4",-3.31472344406939,1.0403658750858,-29.6197629204417,1.67099649624416e-117,1.81332608015955e-114,257.660379499793
"FABP4",-4.94173911591552,2.00751349372787,-29.4724218848663,9.36402348394171e-117,9.59708362398648e-114,255.943661399292
"FAM107A",-3.84637462756947,1.74940295141841,-29.3364169384648,4.60317337279467e-116,4.46943907270084e-113,254.357406117768
"GRIA1",-1.60484740208325,0.41749617610862,-29.0536808411706,1.26729752897701e-114,1.16895524072839e-111,251.054932081333
"RXFP1",-1.13632598292669,0.386147505578823,-28.8538353443005,1.32507763103967e-113,1.12118153211304e-110,248.716793700995
"OVCH1",-0.887685082429638,0.194573401906127,-28.853069689439,1.33705516622327e-113,1.12118153211304e-110,248.707829723661
"C10orf67",-1.09969447160453,0.258648208140608,-28.5649797889681,3.96249751532149e-112,3.17826757228917e-109,245.33179859419
"CNTN6",-1.67767374512169,0.477224600193948,-28.2494637222096,1.63287610896459e-110,1.25513743575745e-107,241.627274728373
"FXYD1",-1.33455317731641,0.540930863096051,-28.1876265329203,3.38712200675108e-110,2.49942507122175e-107,240.900394171966
"NECAB1",-1.73658885858358,0.654200524516469,-28.1460801537173,5.53089581263875e-110,3.92438330582922e-107,240.411875715802
"JPH4",-0.846064601306831,0.358209821859842,-27.8846783256716,1.2131137330631e-108,8.28871190649926e-106,237.335479481349
"TEK",-2.72843731276244,1.84272130500202,-27.716842897353,8.83098855567336e-108,5.81835988839508e-105,235.357833606183
"NCKAP5",-2.26281486450968,0.789164480482857,-27.5472304808179,6.57718011035241e-107,4.18399374744073e-104,233.357398439903
"CHRM1",-1.12250797469279,0.214771006175254,-27.3591590376516,6.10767657304018e-106,3.75581391398151e-103,231.137154046802
"CCDC85A",-1.18373370812733,0.479533394929859,-27.235944500485,2.63298821685171e-105,1.56688279433808e-102,229.681408559523
"GPD1",-3.08117835088183,1.22299345859227,-27.2088185637272,3.63247835394521e-105,2.09412377104942e-102,229.360803077092
"TAL1",-1.38527838806369,0.661784831429743,-27.1698004083894,5.77110007295193e-105,3.19123598245694e-102,228.899566787478
"STX11",-2.71169383454114,2.33042290252762,-27.1682034082534,5.88150603878664e-105,3.19123598245694e-102,228.880686666635
"STXBP6",-2.14493927295115,0.821340362936722,-26.9571177712704,7.20838437431358e-104,3.79943642678105e-101,226.383910731824
"ST8SIA6",-1.65157328144261,0.57077746295862,-26.6353883877522,3.30107265657332e-102,1.69161634356846e-99,222.573771815393
"KANK3",-2.04307821825794,1.31969717025491,-26.5493877963661,9.18309628556526e-102,4.57864216962454e-99,221.554396287302
"EDNRB",-3.1544213860306,2.14601531078833,-26.4597628192905,2.66817332994124e-101,1.29532793659884e-98,220.491676405836
"LIMS2",-2.21844247351763,1.69857168336595,-26.2864455099538,2.10117252558441e-100,9.93908480820031e-98,218.4355099016
"C20orf202",-0.791483413648251,0.34565879671321,-26.195213015113,6.2297728290957e-100,2.87317122877894e-97,217.352617965801
"ECSCR",-1.66151310793121,1.36793415802423,-25.7371849823231,1.46696794063898e-97,6.5365568666941e-95,211.910789380608
"HSPA12B",-2.11854222031493,1.65736362073313,-25.7359831452728,1.4881580030418e-97,6.5365568666941e-95,211.896499703909
"ADAMTS8",-2.70296444025474,1.14025141897435,-25.6955105046302,2.4121714485737e-97,1.03487764844855e-94,211.415255305959
"ADRB2",-2.45411115643207,1.48785841269447,-25.6798594975496,2.90756858892959e-97,1.21906421201302e-94,211.229139646732
"GPIHBP1",-3.1577419806358,1.45227693217253,-25.5262960044768,1.81830779023351e-96,7.45425380316173e-94,209.402575264442
"ANKRD1",-3.76036990424286,1.30625176612792,-25.4908507067735,2.77637760474352e-96,1.11344813157192e-93,208.980858888518
"UPK3B",-4.37406488810489,1.85523556786333,-25.4328464897798,5.55024459011274e-96,2.17853004677447e-93,208.290657558623
"PRX",-2.69902113271154,1.7658658808986,-25.3183947700045,2.17788841677077e-95,8.37035114845566e-93,206.928475505847
"RSPO1",-1.35738649582307,0.404321328319595,-25.2502171741817,4.91799800036577e-95,1.85157606348465e-92,206.116856569488
"MYOC",-1.40103460447989,0.271753734451329,-25.1953817689606,9.47006488686187e-95,3.49407514065656e-92,205.463975302281
"OTUD1",-1.81443766150569,2.97603677327752,-25.1604400453166,1.43780116909478e-94,5.20089332695303e-92,205.047909826512
"JAM2",-1.96395534570658,1.64186147760557,-25.1479836698601,1.66859205399377e-94,5.91965119463022e-92,204.899578848585
"SEMA3G",-2.29514680743777,1.57664526863473,-25.1081646025676,2.68553911213604e-94,9.34770293220484e-92,204.4253849965
"PYCR1",3.2705456754614,4.87806759374852,25.0091789293314,8.76781450989616e-94,2.99534522367712e-91,203.246421449913
"HBA1",-1.55434668773966,0.37502854815723,-24.9988034721075,9.92564778684452e-94,3.32924273403105e-91,203.122831464881
"ARHGAP6",-1.23678022553114,0.726218200236578,-24.6437015191825,6.93386971733805e-92,2.2441408516746e-89,198.891563151983
"PTPN21",-1.9960157444132,1.95756142293446,-24.5930333732412,1.27116583827028e-91,4.04318403179486e-89,198.287627855843
"ROBO4",-2.36766122654169,2.10854862370323,-24.5291048532532,2.73113066736728e-91,8.53964382230366e-89,197.525579034126
"ACVRL1",-2.31035943030144,3.00498825295919,-24.5258291893933,2.84028471594992e-91,8.73292873997402e-89,197.486530408506
"NOVA2",-1.12771636665536,0.650512592180087,-24.5087861185565,3.48268175304016e-91,1.05325431114893e-88,197.283360400392
"TMEM100",-3.83413183162955,1.83555294548925,-24.4649021238568,5.8875287371084e-91,1.75182467971251e-88,196.76020175078
"ACADL",-2.17150253855148,0.915362220753297,-24.3284125186815,3.01435087770638e-90,8.82678491935354e-88,195.132898394901
"LDB2",-2.17408551830577,2.07539329044478,-24.3262808916029,3.09222733554818e-90,8.91334529471762e-88,195.107482278636
"CCM2L",-1.6875169208162,1.16569598455126,-24.2448505417383,8.19336317824956e-90,2.32540252172843e-87,194.136526299664
"CLEC1A",-1.40812684653918,1.04278516692119,-24.2084377590857,1.26679606182852e-89,3.54088693160797e-87,193.702329176493
"S1PR1",-2.63348014575827,3.19597187674697,-24.1598300546746,2.26640664196291e-89,6.24039846730325e-87,193.122699293469
"BTNL9",-2.51222869640424,1.15011321898411,-24.1467758383795,2.64963723544814e-89,7.18830995875695e-87,192.967029322139
"AGER",-6.21981833374385,4.39400853397365,-24.0726297545431,6.43525463137217e-89,1.72054460057324e-86,192.082824952696
"CLEC3B",-3.85596686801274,3.0622188729638,-24.063224119344,7.20200061710422e-89,1.89803581977627e-86,191.970658875312
"FHL1",-3.44614792062426,2.69592298559279,-24.028442615788,1.09203790345217e-88,2.82745036869873e-86,191.555871199917
"WWC2",-1.99874046044712,2.2019692990695,-24.0275690690191,1.10351488804374e-88,2.82745036869873e-86,191.545453622105
"ASPA",-0.843868494345112,0.339085559673919,-23.9389226304849,3.18821437398834e-88,8.05701079059409e-86,190.488275246501
"CLIC5",-3.67012641209806,2.17824861475994,-23.9246551715617,3.78188547691018e-88,9.42813828081607e-86,190.318122247209
"NMUR1",-1.10253938240138,0.514437191727343,-23.858827724238,8.3152493204766e-88,2.04532959285537e-85,189.533062065424
"RAMP2",-2.72001552095325,3.71601342903978,-23.8518691378444,9.03744604914716e-88,2.19372111466667e-85,189.45007338827
"TCF21",-2.47393932443783,1.30912178770305,-23.8261471491845,1.22955417606637e-87,2.9458201870224e-85,189.143310516499
"PRKG2",-1.30004188275816,0.61539214075423,-23.6946408895627,5.9334912950244e-87,1.40334676167449e-84,187.574958866208
"SYT15",-0.641016889818664,0.226303278156229,-23.5742140449939,2.5076493132012e-86,5.85583728227034e-84,186.1387775448
"ODAM",-1.28831303843511,0.365629523284856,-23.5238218185452,4.58339977803161e-86,1.05693198881409e-83,185.537831821576
"PECAM1",-2.24694638449731,4.74320821964683,-23.4232186347116,1.5277978677602e-85,3.43717256883417e-83,184.338151940064
"CD101",-1.71030006145452,1.14806282113063,-23.3844031585,2.43106953060554e-85,5.40341815670011e-83,183.875303979887
"EPAS1",-2.58245844168497,5.83765748257918,-23.3262762041546,4.8739701131793e-85,1.07041667438014e-82,183.182206436362
"SIRPB1",-1.78651457611423,0.974154756372839,-23.3100043754784,5.92167802220698e-85,1.2852131312197e-82,182.988189681818
"LYVE1",-2.6112189204752,1.66774425624045,-23.29670826569,6.94290921343138e-85,1.48933475778351e-82,182.829655987826
"FOXF1",-2.18082990043158,1.84695911260429,-23.2645194846762,1.02050531758812e-84,2.16394047113397e-82,182.445867381343
"RGCC",-2.8340979256546,5.54350190879941,-23.2245748639343,1.64583371932402e-84,3.45026596069199e-82,181.969622816317
"GPR146",-1.00950807613462,0.623157257145938,-23.0669818925809,1.08447440476267e-83,2.22293153545131e-81,180.09091616725
"MCEMP1",-4.13830331388341,2.32896769007878,-22.9964239912634,2.52217027172752e-83,5.11307661239883e-81,179.249904661494
"EMP2",-2.7646744052083,4.942071932077,-22.9871899870868,2.81671650811472e-83,5.64812892844569e-81,179.139846906765
"FCN3",-4.04445218193901,2.35815649344472,-22.9802043219742,3.06218745366714e-83,6.07432625217757e-81,179.056587575255
"RAMP3",-2.89949815077175,3.41971239449488,-22.930866940948,5.52477739072968e-83,1.08426695004448e-80,178.468581400994
"MGAT3",-2.59501194043073,1.3466859235839,-22.8229771224474,2.00758893211006e-82,3.89852638100699e-80,177.182914399485
"GSTM5",-1.21006928194819,0.682614361573443,-22.7919418696732,2.90968606096174e-82,5.5914467138148e-80,176.813130066458
"PTPRQ",-0.624251225822849,0.127896391799225,-22.761605038375,4.18197311871038e-82,7.95350928803805e-80,176.451688820189
"SCN4B",-1.95937679669647,1.13901560976473,-22.7563874689339,4.45117262044558e-82,8.3791053573449e-80,176.389527463759
"USHBP1",-1.11047781757981,0.690674830801328,-22.7548261392067,4.5350478919591e-82,8.45076399099611e-80,176.370926136691
"FHL5",-1.93029236228673,1.12777944996361,-22.7473442305933,4.95943806967876e-82,9.14917135094338e-80,176.281789190156
"GRK5",-2.14824919353524,2.11610412188088,-22.7344472967647,5.78628453765493e-82,1.05688492228374e-79,176.128142621647
"SPOCK2",-3.24644895400109,3.61810028631063,-22.7241501474587,6.54434927720283e-82,1.18362897515527e-79,176.005471283861
"ABCA8",-1.92214378455477,0.914792193308339,-22.6787498786663,1.1261292307452e-81,2.01697398531917e-79,175.464643227314
"SLC19A3",-1.84639217273277,0.848601585215367,-22.6376481985794,1.84065212450608e-81,3.26503369162386e-79,174.975067554542
"FGD5",-1.84246151894154,1.95090596774833,-22.6120564040355,2.49933403575362e-81,4.39121088491265e-79,174.670257960096
"FGFBP2",-1.8486345002257,0.645700982420636,-22.6085723753992,2.60561390566739e-81,4.50731089829454e-79,174.628763014846
"KCNA4",-0.795356924307264,0.150909540537929,-22.6082945999316,2.61427941303944e-81,4.50731089829454e-79,174.625454710266
"ARHGEF26",-2.32223943232755,2.04188220285112,-22.5915526463109,3.193436054302e-81,5.45486188238549e-79,174.426062048952
"FRMD3",-1.32526757267591,0.73706158048731,-22.5857751374083,3.42174830181259e-81,5.79123052035217e-79,174.357255107789
"RGS9",-1.04532898317996,0.574569636612112,-22.5740291909707,3.93747274248045e-81,6.60349974120722e-79,174.217370258965
"TNNC1",-3.64929413784013,2.63829007154418,-22.4701958741407,1.36178482776194e-80,2.26326184707678e-78,172.980972697975
"CAV1",-3.8824422486583,4.88600375321378,-22.4548104194167,1.63661495586764e-80,2.69573863445056e-78,172.797797694162
"ADGRE3",-1.13891093510517,0.468271705748393,-22.4047541461748,2.97629324094184e-80,4.85899625742434e-78,172.201893109508
"MASP1",-0.862250690129575,0.341543499719647,-22.3952550155878,3.33395982325715e-80,5.39516586135508e-78,172.088817973662
"GDF10",-2.58294341807766,1.1918805908805,-22.3737799190197,4.3089910592673e-80,6.91237104881418e-78,171.833195035857
"ARHGEF15",-1.86071635249669,1.65576831919675,-22.33294898768,7.01766730133709e-80,1.11586948930605e-77,171.347217771076
"PLAC9",-2.26105854058724,2.15290508518842,-22.3322439664209,7.07701269778881e-80,1.11586948930605e-77,171.338826975849
"FMO2",-3.12947234118562,2.6152348301309,-22.3314353666379,7.14569482798885e-80,1.11715066259948e-77,171.329203464083
"NXPH3",-1.13621094481502,0.629978669808598,-22.2630141285178,1.617833284326e-79,2.50804944783581e-77,170.514974105451
"STARD13",-1.46557603313127,1.50558259577881,-22.1737950746882,4.69448570914762e-79,7.15734482333515e-77,169.453500848517
"CDH5",-2.35515335714128,3.19542591505326,-22.1360168925269,7.36972638569305e-79,1.11439928166611e-76,169.004130396262
"CALCRL",-2.49772740899571,2.68212709411506,-22.1172828231024,9.21659252987021e-79,1.38233901618736e-76,168.781309904528
"EMCN",-2.2829605696763,1.83022414315566,-22.1005624014108,1.12524063738217e-78,1.67406768374405e-76,168.582451276868
"ANGPTL7",-1.05085583433637,0.237027365734665,-22.0401941217821,2.31281393410046e-78,3.41334331650282e-76,167.864576396103
"PDLIM2",-1.44530299628239,1.60455997874795,-21.9937853389376,4.02381412545107e-78,5.89137484018423e-76,167.312805587595
"EFCC1",-1.89962941259914,1.38098122838663,-21.9600635852404,6.01677921809979e-78,8.7399640169689e-76,166.911933530201
"SH2D3C",-1.9281134433982,2.36753736192525,-21.8808913615171,1.54704287343056e-77,2.2296755413318e-75,165.970961023645
"MYCT1",-1.82506873790292,1.95588013750006,-21.7315786943311,9.17589728037033e-77,1.31222444207963e-74,164.19715682413
"SOX7",-2.04168868912723,1.36974871319719,-21.7202485475718,1.05026117567638e-76,1.49040139760599e-74,164.062601449536
"PTPRB",-2.17411949429027,1.96837605128379,-21.6793860229477,1.7091991261442e-76,2.40696988390139e-74,163.577377380377
"CDO1",-1.73870929576853,0.95126012295203,-21.6211618166712,3.42045666596668e-76,4.78034731619343e-74,162.886140273064
"LIN7A",-1.54298961442311,0.746303430008772,-21.529737128042,1.01629567044405e-75,1.40967086679337e-73,161.801112956893
"CD36",-2.76525252817058,1.79105414473088,-21.4245311033487,3.55629819545203e-75,4.8960141126641e-73,160.553105901539
"CYYR1",-1.90057088727153,2.34317737615772,-21.4182100688052,3.83418406320499e-75,5.2394835257782e-73,160.478142923003
"GIMAP8",-2.16188348673166,2.37249163352334,-21.3918253635471,5.2486817290251e-75,7.11968239243052e-73,160.165264506279
"STARD8",-1.62632965233159,1.68569444562521,-21.2865753437627,1.83606091657267e-74,2.47238334225786e-72,158.917593004754
"ALDH18A1",1.56076286765353,4.74624788226604,21.2843690945835,1.88488061817427e-74,2.51973026406369e-72,158.891446628945
"TGFBR3",-2.09176598410839,1.54993458482186,-21.2721803548172,2.1789362950911e-74,2.89187171020436e-72,158.747002726395
"THSD1",-1.49716017151186,1.288891376576,-21.2568771314328,2.61389010273001e-74,3.44436032965452e-72,158.565663560314
"SOSTDC1",-2.80920093824018,0.993558452729105,-21.198547378512,5.23007445075411e-74,6.84286620336963e-72,157.874608298112
"SOX17",-1.66355626217059,1.07471079905084,-21.1936511930608,5.54354984799654e-74,7.20193011238311e-72,157.816611272294
"SEMA6A",-1.55967788315249,0.934857518670776,-21.1893883429836,5.83173049754453e-74,7.52334015515395e-72,157.766117597304
"RASIP1",-1.88240778711751,1.90817032416914,-21.1708949171989,7.26565529835852e-74,9.30811173223042e-72,157.547075801742
"FAM189A2",-2.65732779391879,1.9933111264359,-21.1433425121884,1.0080999641547e-73,1.28258125094662e-71,157.220778499758
"PRKCE",-1.32805317308428,1.57811149442542,-21.1412940219217,1.03294520878437e-73,1.3051899460037e-71,157.196520675744
"FEZ1",-1.40924011483496,1.22227901113519,-21.1402173565044,1.04624804157887e-73,1.3130057055134e-71,157.183771125098
"AGRP",-1.69890332797503,0.767021411091022,-21.126860531871,1.22623913401046e-73,1.52849050974492e-71,157.025610035889
"VIPR1",-2.48504376257726,1.72632068396296,-21.108874768898,1.51844671680136e-73,1.88002047191621e-71,156.81265560141
"FPR2",-1.79521578846156,0.881707406684439,-21.0748718575464,2.27437753696096e-73,2.79718112012372e-71,156.410115376346
"HIGD1B",-2.37755723076443,2.05653166851485,-21.0410068373336,3.40079221066696e-73,4.15482216572081e-71,156.009286425476
"NLRC4",-1.39358621318263,1.21882659750213,-20.8937476356253,1.95397532005374e-72,2.34071017560724e-70,154.267258637678
"LRRN3",-1.62487205321796,0.7078899383501,-20.856501386644,3.03998114405362e-72,3.61816594487105e-70,153.826898242403
"INMT",-3.64818546782117,2.95164568123074,-20.8477981325766,3.37067936987034e-72,3.98604442406206e-70,153.724015096055
"ERG",-1.6371437284255,1.74336488196695,-20.8350093639298,3.92293923061392e-72,4.60957853034176e-70,153.5728465133
"NPR1",-2.34609658078098,1.8780069751281,-20.8336446185172,3.98697137975786e-72,4.65516759580841e-70,153.556715383286
"PHACTR1",-1.69789110475919,1.30756939358579,-20.7739754525467,8.09123876723124e-72,9.32919829861762e-70,152.851571915244
"ADRB1",-2.39297633874012,1.19965753422158,-20.7085830030261,1.75684159104232e-71,2.00063047355239e-69,152.079110684311
"SMAD6",-1.66169130075907,1.41777824065001,-20.6849283457346,2.32540656313648e-71,2.6318466427449e-69,151.799768713448
"ACTN2",-0.704158612250878,0.247724500550624,-20.6225857531811,4.8677111751275e-71,5.47558144870439e-69,151.063770422418
"FAM110D",-1.35402755941006,0.981305552766388,-20.6069620155802,5.85741368612229e-71,6.54894349585358e-69,150.879370941937
"LRRC36",-2.13828346962644,0.915226013572359,-20.5801288308948,8.04891144281961e-71,8.94495893356242e-69,150.562718888773
"OVCH2",-0.798823253006827,0.243769003930045,-20.5431828371396,1.2466566381669e-70,1.37714500963491e-68,150.126826465892
"HBA2",-4.12393919449921,2.8908900022103,-20.4778608869136,2.7012788789867e-70,2.96626147378253e-68,149.356435430227
"IQSEC3",-0.912247631584382,0.403226123269128,-20.4707307997997,2.93911045972874e-70,3.20832602136544e-68,149.272367163564
"IGSF10",-1.64673959968797,0.736584385898169,-20.4551468086965,3.53432333750058e-70,3.83536452530651e-68,149.088637380271
"SIGLEC11",-0.910896311714499,0.462517474869291,-20.3843237190842,8.16901523412595e-70,8.81298204907342e-68,148.253927139681
"COL6A6",-1.84547309140388,0.918431827581984,-20.3387829498203,1.39971607535804e-69,1.50127686966309e-67,147.717427215128
"PKNOX2",-1.26080907639882,0.702620611871884,-20.2480907302171,4.08825599011377e-69,4.33449117848384e-67,146.649579150341
"DNASE1L3",-2.02640065200756,0.887860931181737,-20.2459461437496,4.19316230432534e-69,4.42031189658251e-67,146.624337149957
"HTR3C",-1.00129901033882,0.184991449362032,-20.221390212013,5.60430354227582e-69,5.87432907658547e-67,146.335342232787
"KIF17",-0.882177956892815,0.613376442867391,-20.1695185967229,1.0340916249413e-68,1.07779222016481e-66,145.72506176194
"CMTM2",-0.815355561415635,0.470730475807523,-20.1052373302222,2.20845008977339e-68,2.28884759865952e-66,144.969139689719
"ARC",-1.5236634606121,0.591737468973428,-20.0884038580765,2.69372446539282e-68,2.77619156075792e-66,144.771251682521
"CCDC141",-0.677498437217003,0.200595101193514,-20.067250195137,3.45733195633062e-68,3.54338110724374e-66,144.522616951426
"SLC39A8",-2.61110177713945,4.26111490934952,-20.0376274952954,4.90332486679098e-68,4.97013940343736e-66,144.174514427812
"GOLM1",2.42591537787557,5.72468647780236,19.9862903118567,8.98230628326365e-68,9.05495007178403e-66,143.571450296192
"ANOS1",-2.68168690311955,2.46932790989071,-19.9483163994709,1.40532680915621e-67,1.40899287909313e-65,143.125539547449
"TMEM177",1.18303500674562,2.31666949248279,19.8724823437741,3.43384608474974e-67,3.42419419305207e-65,142.235503112597
"FGF10",-0.806926929342773,0.237124894946041,-19.8701475785849,3.52957547766e-67,3.50073163504687e-65,142.208110446148
"SYNC",-0.967687481484693,0.791169608064082,-19.8551308693956,4.21233244170709e-67,4.15556732003275e-65,142.031940548392
"CLEC14A",-2.14241757345682,3.57438804721373,-19.7137517193272,2.2236478181559e-66,2.15904499733368e-64,140.374533857502
"DPEP2",-1.64138413888828,1.41660351472421,-19.7060447920566,2.43459356014247e-66,2.35148596845593e-64,140.284247708602
"ADAMTSL3",-1.34174980221358,0.819460231943206,-19.6962001902397,2.73338127649017e-66,2.62632384316097e-64,140.168928499135
"DACH1",-1.51831282312574,0.839409703497565,-19.6923637146394,2.85950463940494e-66,2.73327158485711e-64,140.123991141524
"SLIT2",-2.02842673811089,1.83551463285301,-19.6436710463971,5.0684273224893e-66,4.81970862089086e-64,139.553788955789
"SEMA5A",-2.09264194590935,1.55066966464682,-19.5928007621004,9.21400996064139e-66,8.71692593609807e-64,138.958374821478
"CLDN18",-5.60924820774893,3.00271331313203,-19.5887080872768,9.66778042696573e-66,9.09955169982979e-64,138.910484818994
"MMRN2",-1.81416182576187,2.47504654609027,-19.5805792316236,1.06363424816626e-65,9.96036782242191e-64,138.815371624355
"GRASP",-1.90457931821641,2.11194747686813,-19.5774813927718,1.10304597491805e-65,1.02772687602465e-63,138.779126798551
"LRRC2",-0.665011454684037,0.299710799558658,-19.539867091552,1.71560146881658e-65,1.59042290938333e-63,138.339127344886
"CAT",-1.8967742982895,4.9365037808532,-19.5100115287979,2.43568395343903e-65,2.24667487865216e-63,137.990005181875
"LMO2",-1.60066248740213,2.31088660442645,-19.4005810319855,8.79244713880628e-65,7.99029875944327e-63,136.711266883044
"GLDN",-1.55054196685461,0.954529942732537,-19.391109866757,9.82496231519405e-65,8.88484827405392e-63,136.600660781828
"PPP1R14B",2.02416818432235,5.54609839525238,19.3855734895698,1.04837439095662e-64,9.43434671432573e-63,136.536010987621
"RASGRP4",-1.05977761831096,0.86086971449944,-19.3306428124256,1.99562341442238e-64,1.77851501204175e-62,135.894775261254
"PTCRA",-1.04299645424105,0.567718212788573,-19.2952675294142,3.02016601328969e-64,2.67865493332539e-62,135.482019119248
"GPA33",-1.94918513093027,0.755364472223381,-19.2759933828087,3.78485226352005e-64,3.34081122284296e-62,135.257196054914
"RBP2",-1.67382088545651,0.571387672300598,-19.2664335737614,4.23309067180593e-64,3.71866936730837e-62,135.145703206468
"ADGRE1",-1.50530301452797,0.754323523261522,-19.2414378896293,5.67190838354464e-64,4.95902207865552e-62,134.854241829555
"MME",-2.29193999937609,1.37670418952725,-19.1439162418399,1.7748994154074e-63,1.54449737808659e-61,133.717862649579
"HHIP",-2.45185384827932,1.07696842669077,-19.1159841305126,2.46025718804611e-63,2.13083683591899e-61,133.392610010322
"PLA2G4F",-2.45640721776287,1.67289804929078,-19.0491499416485,5.37162928271891e-63,4.63064565456067e-61,132.61478657874
"ARHGAP31",-1.93918089490739,2.40627088881456,-19.0329302432325,6.49184445430693e-63,5.57030448804903e-61,132.42611033057
"TGM1",-1.23066225631958,0.717944360375402,-18.9985858223845,9.69400989195022e-63,8.2794025225323e-61,132.026715252192
"SRPK1",1.41737978834854,3.68035835775452,18.9948409653866,1.01271374801555e-62,8.60946692322159e-61,131.983175607669
"PAICS",1.65775394561341,3.96744916910171,18.9698690003216,1.35535254095893e-62,1.14171432308723e-60,131.692887729219
"ACKR4",-1.28752638119219,0.644733272298783,-18.9607285399061,1.50789020795005e-62,1.26443447983012e-60,131.586655404303
"KCNT2",-0.998718878468497,0.397332804389906,-18.9085196299331,2.77225123620119e-62,2.31413985544975e-60,130.980094373003
"VEPH1",-2.42191063251256,1.6285412090115,-18.8821433157967,3.77032656003331e-62,3.13310740448174e-60,130.67380001271
"ATIC",1.2323897752704,4.59452567061436,18.8242843533759,7.39908184137546e-62,6.12099828743025e-60,130.002258174491
"GIMAP1",-1.4236621976202,1.45612094544307,-18.7453565087193,1.8546624143765e-61,1.52744697412579e-59,129.086952713922
"ALAS2",-0.831301776249999,0.197852677031575,-18.7216213472446,2.44456848472657e-61,2.00432886249937e-59,128.811879170564
"SLC14A1",-1.14046401112512,0.472107397385657,-18.711618552769,2.746231872279e-61,2.2417029017612e-59,128.69597867083
"AOC3",-2.667146603488,3.60187695631651,-18.6863785664681,3.68318616229382e-61,2.99327834017605e-59,128.403593211699
"EFNA4",1.8867676846788,3.78022636946985,18.6511511157288,5.54739020237913e-61,4.48851993217063e-59,127.99566863533
"TUBB1",-0.663111985225942,0.264760975244382,-18.647863256366,5.76348565857117e-61,4.64300364320179e-59,127.957605525453
"RAI2",-1.90370891385617,2.28950409106617,-18.6342341784208,6.75265949147758e-61,5.41622009994688e-59,127.799840756036
"SBSPON",-1.60778081232935,0.901547253095375,-18.6212808347859,7.8495140676721e-61,6.26873746841623e-59,127.649923844422
"CLDN5",-2.57993419552515,2.94744827474879,-18.6169699801316,8.25267457280729e-61,6.56229916030814e-59,127.600037302443
"ANGPTL1",-1.51695453442666,0.835248913434067,-18.6015955561009,9.86647519210589e-61,7.81187701047079e-59,127.422142538596
"RCC1",1.56099286973605,3.94247799434217,18.5811588083336,1.25096760837633e-60,9.86232924757546e-59,127.185727885305
"PEAR1",-1.34084250037475,1.25179401735863,-18.5227426230353,2.46461709235464e-60,1.93477685615993e-58,126.510313953949
"LRRC32",-1.99886736219231,3.13894590125275,-18.5118714617595,2.79596167851367e-60,2.18558902733984e-58,126.384678332579
"CGNL1",-2.04058930232954,2.44558472132735,-18.5106171842875,2.83694712820034e-60,2.20827006839831e-58,126.370184098604
"CFP",-1.20453172881893,0.902428717438799,-18.484049027455,3.86098130679581e-60,2.98022523630833e-58,126.063223934361
"DKK2",-1.39549237716303,1.02179999733054,-18.4756411835578,4.25642860297685e-60,3.27177478615487e-58,125.966105199863
"CXCR2",-1.25408219429705,0.676705235378688,-18.4683498646902,4.6319683786423e-60,3.53101457228071e-58,125.881892339455
"RHOJ",-1.49112250298912,2.01931217251728,-18.4600802484846,5.09810007754802e-60,3.87036009179448e-58,125.786390453953
"UBE2T",2.54606251187221,3.6869753940097,18.4582162221783,5.20947883306187e-60,3.93870760296416e-58,125.764865174443
