"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GINS2",1.46566300942777,1.87560804175651,12.8188025839934,3.06534018443704e-33,5.79993802281996e-32,64.4300464692527
"PC",1.29804896387997,2.67757739143697,12.8112788920641,3.30517042208204e-33,6.24731392895178e-32,64.3552078261341
"PKP3",1.40717219467848,4.2571372193717,12.8045985045819,3.53373017485656e-33,6.67249276005669e-32,64.2887779326246
"FAM167A",-1.71780273143428,1.68847751219739,-12.8042048712568,3.54767841871698e-33,6.69198072274958e-32,64.2848642332153
"NME4",1.29540276305988,4.44410514891393,12.8030184966592,3.59004962125277e-33,6.76498829549245e-32,64.2730691058966
"TONSL",1.21044612902406,1.8623249117917,12.7964827545355,3.83266941390375e-33,7.21480462731595e-32,64.2081005419765
"ARL13B",-0.786213139103731,2.04364540113287,-12.7935336856765,3.94742505045644e-33,7.41605179014928e-32,64.178791323114
"EPRS",0.8970602492061,4.93318372787589,12.7935288381965,3.94761646678588e-33,7.41605179014928e-32,64.178743149679
"ZEB2",-1.09761291860407,1.65831844457436,-12.7909566071332,4.05050304240714e-33,7.60159512983997e-32,64.1531821781207
"GALNT18",-1.34509175525323,3.14776227136661,-12.7881988715374,4.16377705706507e-33,7.80623568584719e-32,64.1257809571516
"CA3",-1.37889578992308,1.12591706929266,-12.786298844103,4.24365055384644e-33,7.94790511851362e-32,64.1069039399408
"PARS2",0.693183546253223,1.90801060257967,12.7791891557853,4.55629995959538e-33,8.52480949843971e-32,64.0362820557584
"PTPRM",-1.31632891843546,2.6551717434128,-12.7730775559238,4.84332377158234e-33,9.05264811936688e-32,63.9755917739947
"SIDT2",-0.872777721201518,2.98335763959622,-12.7685873320314,5.06560952894622e-33,9.45853892611334e-32,63.93101257069
"BOP1",1.43712097999938,3.84676444094024,12.7683080877753,5.079764125901e-33,9.47537801765638e-32,63.9282405046796
"PPME1",0.763992966286101,3.15992202718514,12.7607281113712,5.47939827812183e-33,1.02104989328072e-31,63.8530067058657
"SCN1A",-0.737134113171927,0.433393276265415,-12.7597609568096,5.53259096237611e-33,1.02992167582154e-31,63.8434091576657
