Tag	dynamicColors	mergedColors
HDLBP	blue	blue
HDX	midnightblue	midnightblue
HEATR1	blue	blue
HEATR3	turquoise	turquoise
HEATR5A	blue	blue
HEATR5B	blue	blue
HEATR6	blue	blue
HEBP1	grey	grey
HEBP2	purple	purple
HECA	blue	blue
HECTD1	blue	blue
HECTD2	green	green
HECTD3	red	lightcyan
HECTD4	blue	blue
HECW2	blue	blue
HEG1	tan	tan
HELB	blue	blue
HELLS	turquoise	turquoise
HELQ	green	green
HELZ	blue	blue
HELZ2	red	lightcyan
HEMK1	yellow	yellow
HENMT1	turquoise	turquoise
HEPH	pink	pink
HERC1	blue	blue
HERC2	blue	blue
HERC3	blue	blue
HERC4	blue	blue
HERC5	brown	brown
HERC6	brown	brown
HERPUD1	greenyellow	greenyellow
HERPUD2	turquoise	turquoise
HES1	grey	grey
HES2	grey	grey
HES4	cyan	black
HES6	black	black
HESX1	green	green
HEXA	grey	grey
HEXB	brown	brown
HEXIM1	grey	grey
HEXIM2	yellow	yellow
HEY1	grey	grey
HEY2	pink	pink
HEYL	tan	tan
HFE	grey	grey
HGD	lightgreen	lightgreen
HGF	tan	tan
HGH1	lightyellow	lightyellow
HGS	red	lightcyan
HGSNAT	turquoise	turquoise
HHAT	turquoise	turquoise
HHEX	brown	brown
HHIP	turquoise	turquoise
HHIPL1	pink	pink
HHIPL2	lightgreen	lightgreen
HHLA2	grey	grey
HHLA3	grey	grey
HIBADH	turquoise	turquoise
HIBCH	blue	blue
HIC1	pink	pink
HIC2	blue	blue
HID1	lightyellow	lightyellow
HIF1A	salmon	salmon
HIF1AN	blue	blue
HIF3A	grey	grey
HIGD1A	red	lightcyan
HIGD1B	tan	tan
HIGD2A	blue	blue
HILPDA	turquoise	turquoise
HINFP	yellow	yellow
HINT1	purple	purple
HINT2	blue	blue
HINT3	blue	blue
HIP1	blue	blue
HIP1R	yellow	yellow
HIPK1	blue	blue
HIPK2	blue	blue
HIPK3	blue	blue
HIRA	red	lightcyan
HIRIP3	red	lightcyan
HIST1H1C	grey	grey
HIST1H1D	blue	blue
HIST1H1E	blue	blue
HIST1H2AC	grey	grey
HIST1H2AD	grey	grey
HIST1H2AE	grey	grey
HIST1H2AG	turquoise	turquoise
